Team,Player,DraftRound,YearsKept,OverallPick
Bowls on Parade,Bobby Witt Jr.,1,0,1
Fire Bad,Shohei Ohtani,1,0,2
Topline Jobbers,Aaron Judge,1,0,3
The Nudes,Ronald Acuña Jr.,1,0,10
Jeters Never Win,Jose Ramirez,1,0,5
K-Nines,Yordan Alvarez,1,0,6
The Phenomenal Smiths,Kyle Tucker,1,0,7
Hebrew Nationals,Vladimir Guerrero Jr.,1,0,8
The Funeral Home,Mookie Betts,1,0,9
Acuna Machado,Juan Soto,1,0,4
Kiki Kankles,Francisco Lindor,1,0,11
Giant City,Fernando Tatis Jr.,1,0,12
High Falls Heroes,Bryce Harper,1,0,13
Cybulski Tax Service,Matt Olson,1,0,14
Bowls on Parade,Ozzie Albies,2,0,28
Fire Bad,Logan Gilbert,2,0,27
Topline Jobbers,Pete Alonso,2,0,26
The Nudes,Trea Turner,2,0,19
Jeters Never Win,Manny Machado,2,0,24
K-Nines,Corey Seager,2,0,23
The Phenomenal Smiths,Rafael Devers,2,0,22
Hebrew Nationals,Teoscar Hernández,2,0,21
The Funeral Home,Zack Wheeler,2,0,20
Acuna Machado,Kyle Schwarber,2,0,25
Kiki Kankles,Freddie Freeman,2,0,18
Giant City,Julio Rodriguez,2,0,17
High Falls Heroes,Jazz Chisholm,2,0,16
Cybulski Tax Service,Austin Riley,2,0,15
Bowls on Parade,Emmanuel Clase,3,0,29
Fire Bad,Josh Hader,3,0,30
Topline Jobbers,Wyatt Langford,3,0,31
The Nudes,Yoshinobu Yamamoto,3,0,32
Jeters Never Win,Jose Altuve,3,0,33
K-Nines,Corbin Burnes,3,0,34
The Phenomenal Smiths,Bryan Reynolds,3,0,35
Hebrew Nationals,Adley Rutschman,3,0,36
The Funeral Home,Christian Yelich,3,0,37
Acuna Machado,Oneil Cruz,3,0,38
Kiki Kankles,Devin Williams,3,0,39
Giant City,Raisel Iglesias,3,0,40
High Falls Heroes,Chris Sale,3,0,41
Cybulski Tax Service,Dylan Cease,3,0,42
Bowls on Parade,Cody Bellinger,4,0,56
Fire Bad,Seiya Suzuki,4,0,55
Topline Jobbers,Junior Caminero,4,0,54
The Nudes,Tanner Scott,4,0,47
Jeters Never Win,Robert Suarez,4,0,52
K-Nines,Josh Naylor,4,0,51
The Phenomenal Smiths,Framber Valdez,4,0,50
Hebrew Nationals,Luis Robert Jr.,4,0,49
The Funeral Home,Shota Imanaga,4,0,48
Acuna Machado,Triston Casas,4,0,53
Kiki Kankles,Blake Snell,4,0,46
Giant City,Alex Bregman,4,0,45
High Falls Heroes,Mike Trout,4,0,44
Cybulski Tax Service,Riley Greene,4,0,43
Bowls on Parade,Pablo Lopez,5,0,57
Fire Bad,Trevor Megill,5,0,58
Topline Jobbers,Willy Adames,5,0,59
The Nudes,Vinnie Pasquantino,5,0,60
Jeters Never Win,Yainer Diaz,5,0,61
K-Nines,Will Smith,5,0,62
The Phenomenal Smiths,Willson Contreras,5,0,63
Hebrew Nationals,Marcus Semien,5,0,64
The Funeral Home,Aaron Nola,5,0,65
Acuna Machado,Ian Happ,5,0,66
Kiki Kankles,Joe Ryan,5,0,67
Giant City,Ketel Marte,5,2,68
High Falls Heroes,Jarren Duran,5,0,69
Cybulski Tax Service,David Bednar,5,0,70
Bowls on Parade,Alec Bohm,6,0,84
Fire Bad,Brandon Nimmo,6,0,83
Topline Jobbers,Zac Gallen,6,0,82
The Nudes,Adolis Garcia,6,0,81
Jeters Never Win,Josh Lowe,6,0,80
K-Nines,Hunter Brown,6,0,79
The Phenomenal Smiths,Bo Bichette,6,0,78
Hebrew Nationals,Freddy Peralta,6,0,77
The Funeral Home,Luis Arraez,6,0,76
Acuna Machado,Randy Arozarena,6,0,75
Kiki Kankles,Hunter Greene,6,0,74
Giant City,Max Fried,6,0,73
High Falls Heroes,Roki Sasaki,6,0,72
Cybulski Tax Service,Logan Webb,6,0,71
Bowls on Parade,Luis Castillo,7,0,85
Fire Bad,Salvador Perez,7,1,86
Topline Jobbers,Bryce Miller,7,0,87
The Nudes,Christopher Sanchez,7,0,88
Jeters Never Win,Kodai Senga,7,0,89
K-Nines,Steven Kwan,7,0,90
The Phenomenal Smiths,Paul Goldschmidt,7,0,91
Hebrew Nationals,Nick Castellanos,7,0,92
The Funeral Home,Carlos Estevez,7,0,93
Acuna Machado,Max Muncy (LAD),7,0,94
Kiki Kankles,Kenley Jansen,7,0,95
Giant City,Yandy Diaz,7,0,96
High Falls Heroes,Jordan Romano,7,0,97
Cybulski Tax Service,Jorge Soler,7,0,98
Bowls on Parade,Xander Bogaerts,8,0,112
Fire Bad,Ryan Pepiot,8,0,111
Topline Jobbers,Zach Eflin,8,0,110
The Nudes,Chris Martin,8,0,109
Jeters Never Win,Matt Shaw,8,0,108
K-Nines,Tyler O'Neill,8,0,107
The Phenomenal Smiths,Lucas Erceg,8,0,106
Hebrew Nationals,Carlos Rodon,8,0,105
The Funeral Home,Kyle Finnegan,8,1,104
Acuna Machado,A. J. Puk,8,0,103
Kiki Kankles,Kevin Gausman,8,0,102
Giant City,Jeremy Pena,8,0,101
High Falls Heroes,Robbie Ray,8,0,100
Cybulski Tax Service,Lars Nootbaar,8,0,99
Bowls on Parade,Spencer Steer,9,0,113
Fire Bad,Brandon Lowe,9,0,114
Topline Jobbers,Anthony Santander,9,3,115
The Nudes,Jackson Holiday,9,0,116
Jeters Never Win,Clay Holmes,9,0,117
K-Nines,Ryan Helsley,9,3,118
The Phenomenal Smiths,Yusei Kikuchi,9,0,119
Hebrew Nationals,Ezequiel Tovar,9,0,120
The Funeral Home,Liam Hendriks,9,0,121
Acuna Machado,Zack Gelof,9,0,122
Kiki Kankles,Shea Langeliers,9,0,123
Giant City,Cal Raleigh,9,0,124
High Falls Heroes,Carlos Correa,9,0,125
Cybulski Tax Service,Michael Toglia,9,0,126
Bowls on Parade,Andres Munoz,10,3,140
Fire Bad,Isaac Paredes,10,2,139
Topline Jobbers,Pete Fairbanks,10,3,138
The Nudes,Alexis Diaz,10,3,137
Jeters Never Win,Grayson Rodriguez,10,3,136
K-Nines,Kerry Carpenter,10,0,135
The Phenomenal Smiths,Brandon Woodruff,10,0,134
Hebrew Nationals,Seth Lugo,10,2,133
The Funeral Home,Christian Walker,10,3,132
Acuna Machado,Jhoan Duran,10,3,131
Kiki Kankles,Dansby Swanson,10,0,130
Giant City,MacKenzie Gore,10,0,129
High Falls Heroes,Jonathan India,10,0,128
Cybulski Tax Service,Gunnar Henderson,10,3,127
Fire Bad,Anthony Volpe,11,3,142
Topline Jobbers,Luis Rengifo,11,0,143
The Nudes,William Contreras,11,3,144
Jeters Never Win,Tyler Soderstrom,11,0,145
K-Nines,CJ Abrams,11,3,146
The Phenomenal Smiths,Eugenio Suarez,11,0,147
Hebrew Nationals,Taj Bradley,11,0,148
The Funeral Home,Jason Foley,11,0,149
Acuna Machado,Orion Kerkering 150 Lane Thomas,11,0,141
Kiki Kankles,Taylor Ward,11,0,151
Giant City,Victor Robles,11,0,152
High Falls Heroes,Jake McCarthy,11,0,153
Cybulski Tax Service,Andres Gimenez,11,0,154
Bowls on Parade,Marcell Ozuna,12,2,168
Fire Bad,Corbin Carroll,12,3,167
Topline Jobbers,Nathaniel Lowe,12,0,166
The Nudes,Bryan Woo,12,1,165
Jeters Never Win,Michael Harris II,12,3,164
K-Nines,Tyler Glasnow,12,3,163
The Phenomenal Smiths,Nico Hoerner,12,3,162
Hebrew Nationals,Jung Hoo Lee,12,0,161
The Funeral Home,Matt Chapman,12,1,160
Acuna Machado,George Kirby,12,3,159
Kiki Kankles,Kirby Yates,12,0,158
Giant City,Spencer Strider,12,3,157
High Falls Heroes,Michael Busch,12,0,156
Cybulski Tax Service,Calvin Faucher,12,0,155
Bowls on Parade,Justin Martinez,13,1,169
Fire Bad,Nick Pivetta,13,0,170
Topline Jobbers,Justin Steele,13,2,171
The Nudes,Christian Encarnacion-Strand,13,0,172
Jeters Never Win,Ben Joyce,13,0,173
K-Nines,Elly De La Cruz,13,2,174
The Phenomenal Smiths,Porter Hodge,13,0,175
Hebrew Nationals,Edwin DIaz,13,2,176
The Funeral Home,Logan O'Hoppe,13,0,177
Acuna Machado,Sonny Gray,13,2,178
Kiki Kankles,Matt McLain,13,2,179
Giant City,Jesus Luzardo,13,0,180
High Falls Heroes,Jason Adam,13,0,181
Cybulski Tax Service,Brandon Pfaadt,13,0,182
Bowls on Parade,Tanner Bibee,14,2,196
Fire Bad,Jackson Chourio,14,2,195
Topline Jobbers,Bailey Ober,14,2,194
The Nudes,Ranger Suárez,14,1,193
Jeters Never Win,Reese Olson,14,0,192
K-Nines,Cole Ragans,14,2,191
The Phenomenal Smiths,Colton Cowser,14,2,190
Hebrew Nationals,Michael King,14,2,189
The Funeral Home,Jose Berrios,14,2,188
Acuna Machado,Ryan McMahon,14,0,187
Kiki Kankles,Jacob DeGrom,14,0,186
Giant City,Mason Miller,14,2,185
High Falls Heroes,Garrett Mitchell,14,0,184
Cybulski Tax Service,Tarik Skubal,14,2,183
Bowls on Parade,Jurickson Profar,15,1,197
Fire Bad,Royce Lewis,15,2,198
The Nudes,Bryson Stott,15,2,200
Jeters Never Win,Tobias Myers,15,0,201
K-Nines,Josh Jung,15,0,202
The Phenomenal Smiths,Christopher Morel,15,2,203
Hebrew Nationals,Jake Burger,15,2,204
The Funeral Home,Mitch Keller,15,2,205
Acuna Machado,Nestor Cortes,15,0,206
Kiki Kankles,Felix Bautista,15,0,207
Giant City,Jasson Dominguez,15,2,208
High Falls Heroes,Aroldis Chapman,15,0,209
Cybulski Tax Service,Nick Lodolo (NK) 210 Ryan Walker,15,1,199
Bowls on Parade,Masyn Winn,16,1,224
Fire Bad,Nathan Eovaldi,16,1,223
Topline Jobbers,Heliot Ramos,16,0,222
The Nudes,Garrett Crochet,16,1,221
Jeters Never Win,Brenton Doyle,16,0,220
K-Nines,Jeffrey Springs,16,0,219
The Phenomenal Smiths,Paul Skenes,16,0,218
Hebrew Nationals,Andrew Vaughn,16,0,217
The Funeral Home,Masataka Yoshida,16,0,216
Acuna Machado,Reynaldo López,16,0,215
Kiki Kankles,Zach Neto,16,0,214
Giant City,Gavin Williams,16,0,213
High Falls Heroes,Shane Baz,16,0,212
Cybulski Tax Service,Jack Flaherty,16,0,211
Bowls on Parade,Jackson Merrill,17,1,225
Fire Bad,Max Scherzer,17,0,226
Topline Jobbers,Xavier Edwards,17,0,227
The Nudes,Mark Vientos,17,1,228
Jeters Never Win,Jackson Jobe,17,0,229
K-Nines,Jordan Westburg,17,0,230
The Phenomenal Smiths,Brice Turang,17,0,231
Hebrew Nationals,Ryan Pressly,17,0,232
The Funeral Home,Lourdes Gurriel Jr.,17,0,233
Acuna Machado,Sandy Alcantara,17,0,234
Kiki Kankles,Lawrence Butler,17,0,235
Giant City,Byron Buxton,17,0,236
High Falls Heroes,Ceddanne Rafaela,17,0,237
Cybulski Tax Service,Pete Crow-Armstrong,17,0,238
Bowls on Parade,Jared Jones,18,1,252
Fire Bad,Spencer Arrigghetti,18,1,251
Topline Jobbers,Jeff Hoffman,18,0,250
The Nudes,Dylan Crews,18,1,249
Jeters Never Win,Roman Anthony,18,0,248
K-Nines,Spencer Schwellenbach,18,0,247
The Phenomenal Smiths,Bowden Francis,18,0,246
Hebrew Nationals,Cedric Mullins,18,0,245
The Funeral Home,Tommy Edman,18,1,244
Acuna Machado,Shane McClanahan,18,0,243
Kiki Kankles,Brent Rooker,18,0,242
Giant City,Shohei Ohtani,18,0,241
High Falls Heroes,James Wood,18,0,240
Cybulski Tax Service,Luis Garcia Jr.,18,0,239
Bowls on Parade,Kristian Campbell,19,0,253
Fire Bad,Brendan Donovan,19,0,254
The Nudes,Walker Buehler,19,0,256
Jeters Never Win,Griffin Jax,19,0,257
K-Nines,Cade Smith,19,0,258
The Phenomenal Smiths,Matt Wallner,19,0,259
Hebrew Nationals,Camilo Doval,19,0,260
The Funeral Home,Gabriel Moreno,19,0,261
Acuna Machado,Maikel Garcia,19,0,262
Kiki Kankles,Nolan Arenado,19,0,263
Giant City,Yu Darvish,19,0,264
High Falls Heroes,Dustin May 265 Shane Bieber,19,0,265
Cybulski Tax Service,Connor Norby,19,0,266
Fire Bad,Drake Baldwin,20,0,279
Topline Jobbers,Grant Holmes,20,0,278
The Nudes,Daulton Varsho,20,0,277
Jeters Never Win,Ryan Mountcastle,20,0,276
K-Nines,Bubba Chandler,20,0,275
The Phenomenal Smiths,Tanner Houck,20,0,274
Hebrew Nationals,Willi Castro,20,0,273
The Funeral Home,Joc Pederson,20,0,272
Kiki Kankles,Michael Conforto,20,0,270
Giant City,Jake Cronenworth,20,0,269
High Falls Heroes,Eury Perez,20,0,268
Cybulski Tax Service,Austin Wells,20,0,267
Bowls on Parade,Edwin Uceta,21,0,281
Fire Bad,Luisangel Acuna,21,0,282
Topline Jobbers,Ivan Herrera 294 Nolan Jones,21,0,283
The Nudes,Colt Keith,21,0,284
Jeters Never Win,Francisco Alvarez,21,0,285
K-Nines,Gleyber Torres,21,0,286
The Phenomenal Smiths,Gavin Lux,21,0,287
Hebrew Nationals,Sean Manaea,21,0,288
The Funeral Home,Wilyer Abreu,21,0,289
Acuna Machado,Robert Garcia,21,0,290
Kiki Kankles,Cam Smith,21,0,291
Giant City,Jeremiah Estrada,21,0,292
High Falls Heroes,Mike Clevinger,21,0,293
Bowls on Parade,Tyler Holton,22,0,308
Fire Bad,Luke Weaver,22,0,307
Topline Jobbers,Justin Slaten,22,0,306
The Nudes,Evan Carter,22,0,305
Jeters Never Win,Tyler Fitzgerald,22,0,304
K-Nines,Bryan Abreu,22,0,303
The Phenomenal Smiths,Tyler Kinley,22,0,302
Hebrew Nationals,Brock Stewart,22,0,301
The Funeral Home,Alec Burleson,22,0,300
Acuna Machado,Andrew Painter,22,0,299
Kiki Kankles,Rhys Hoskins,22,0,298
Giant City,Jordan Lawlar,22,0,297
High Falls Heroes,Drew Rasmussen,22,0,296
Cybulski Tax Service,Ronel Blanco,22,0,295
Bowls on Parade,Max Meyer,23,0,309
Fire Bad,Blake Treinen,23,0,310
Topline Jobbers,Kevin Ginkel 321 Casey Mize,23,0,311
The Nudes,Ryan Weathers,23,0,312
Jeters Never Win,Beau Brieske,23,0,313
K-Nines,Joey Bart,23,0,314
The Phenomenal Smiths,Ha-Seong Kim,23,0,315
Hebrew Nationals,Tyler Stephenson,23,0,316
The Funeral Home,Spencer Horwitz,23,0,317
Acuna Machado,Trevor Story,23,0,318
Kiki Kankles,Yennier Cano,23,0,319
Giant City,Jose Soriano,23,0,320
Cybulski Tax Service,Jonathan Aranda,23,0,322
Bowls on Parade,Miguel Amaya,24,0,336
Fire Bad,Matt Strahm,24,0,335
Topline Jobbers,Thairo Estrada,24,0,334
The Nudes,Jack Leiter,24,0,333
Jeters Never Win,Jac Caglianone,24,0,332
K-Nines,Andy Pages,24,0,331
The Phenomenal Smiths,Luke Raley,24,0,330
Hebrew Nationals,Zebby Matthews,24,0,329
The Funeral Home,Jacob Young,24,0,328
Acuna Machado,Jose Alvarado,24,0,327
Kiki Kankles,Hunter Gaddis,24,0,326
Giant City,Brandon Marsh,24,0,325
High Falls Heroes,Joey Ortiz,24,0,324
Cybulski Tax Service,Parker Meadows,24,0,323
Bowls on Parade,Michael Kopech 346 Alex Vesia,25,0,337
Fire Bad,Kris Bubic,25,0,338
Topline Jobbers,Victor Vodnik,25,0,339
The Nudes,Max Kepler,25,0,340
Jeters Never Win,Merrill Kelly,25,0,341
K-Nines,Justin Verlander,25,0,342
The Phenomenal Smiths,Tomoyuki Sugano,25,0,343
Hebrew Nationals,Yimi Garcia,25,0,344
The Funeral Home,Sal Frelick,25,0,345
Kiki Kankles,Jordan Walker,25,0,347
Giant City,Sean Murphy,25,0,348
High Falls Heroes,Hunter Goodman,25,0,349
Cybulski Tax Service,Ryan Brasier,25,0,350
